release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
2008-01-25 00:00:00,"4 luni, 3 saptamani si 2 zile",900000.0,1400000.0,11993156.0,unknown,18700000.0,Winter,11093156.0
2015-01-01 00:00:00,4/11,250000.0,1400000.0,0.0,unknown,18700000.0,Winter,-250000.0
2002-03-01 00:00:00,40 Days and 40 Nights,17000000.0,1400000.0,95092667.0,unknown,18700000.0,Spring,78092667.0
2014-12-31 00:00:00,40 Weeks,900000.0,1400000.0,0.0,unknown,18700000.0,Winter,-900000.0
2013-04-12 00:00:00,42,31000000.0,1400000.0,97470701.0,unknown,18700000.0,Spring,66470701.0
1933-03-09 00:00:00,42nd Street,439000.0,1400000.0,2281000.0,unknown,18700000.0,Spring,1842000.0
unknown,44 Inch Chest,17000000.0,39000.0,294000.0,Imag.,255000.0,Winter,-16706000.0
unknown,45 Years,17000000.0,4200000.0,22900000.0,IFC,18700000.0,Winter,5900000.0
unknown,47 Meters Down,17000000.0,44300000.0,63000000.0,ENTMP,18700000.0,Winter,46000000.0
unknown,47 Ronin,17000000.0,38400000.0,151800000.0,Uni.,113400000.0,Winter,134800000.0
2013-12-25 00:00:00,47 Ronin,175000000.0,1400000.0,151716815.0,unknown,18700000.0,Winter,-23283185.0
unknown,4:44: Last Day on Earth,17000000.0,17800.0,18717800.0,IFC,18700000.0,Winter,1717800.0
unknown,5 Broken Cameras,17000000.0,110000.0,18810000.0,KL,18700000.0,Winter,1810000.0
unknown,5 Days of War,17000000.0,17500.0,18717500.0,Anch.,18700000.0,Winter,1717500.0
2011-08-19 00:00:00,5 Days of War,12000000.0,1400000.0,87793.0,unknown,18700000.0,Summer,-11912207.0
unknown,5 Flights Up,17000000.0,1000000.0,19700000.0,FCW,18700000.0,Winter,2700000.0
unknown,5 to 7,17000000.0,163000.0,18863000.0,IFC,18700000.0,Winter,1863000.0
2004-02-13 00:00:00,50 First Dates,75000000.0,1400000.0,196320329.0,unknown,18700000.0,Winter,121320329.0
2014-03-21 00:00:00,50 to 1,10000000.0,1400000.0,1069454.0,unknown,18700000.0,Spring,-8930546.0
unknown,50/50,17000000.0,35000000.0,39200000.0,Sum.,4200000.0,Winter,22200000.0
